Vendor,Vendor Style #,UPC,Title,Description (HTML),Brand,Fulfillment Type,Department,CC Color (LMD),Size,CC Retail,MSRP,Cost/% Rev Share,Quantity Available,Accumula,1-Class,2-Subclass,3-Payment Type,4-Material Type,5-Season Code,6-Aesthetic Range,7-Pattern/Length,8-Sale,9-Collection,Future Tag 1,Future Tag 2,Primary Color,Feature1 (Amazon),Feature2 (Amazon),Feature3 (Amazon),Keywords (Amazon),Height (in),Width (in),Length,Amazon Retail,01 -1 Cumberland Mall - Quantity on Hand,02 -1 Mall in Columbia - Quantity on Hand,03 - 1  Towson Town Center - Quantity on Hand,04 - 1 TBD - Quantity on Hand,05 - 1 TBD - Quantity on Hand,06 - 1 TBD - Quantity on Hand,07 -1 TBD - Quantity on Hand,08 - 1 TBD - Quantity on Hand,09-1 TBD - Quantity on Hand,10 -1  TBD - Quantity on Hand,11 -1  TBD - Quantity on Hand,12 -1 TBD - Quantity on Hand,13 -1 TBD - Quantity on Hand,14 -1  TBD - Quantity on Hand,15 -1  TBD - Quantity on Hand,16 -1  TBD - Quantity on Hand,17 -1  TBD - Quantity on Hand,0-Shopify - Quantity on Hand
Wona Trading,484990,840137820016,Metal Disk Face Mask Chain," <ul>
<li>Size: 27” L</li>
<li>Multi Use</li>
<li>Mask NOT Included</li>
<li>Lead and Nickel Compliant</li>
</ul>  ",Charming Charlie,skubana-fullfillment,Accessories,Gold,,$14.00,,$4.28,,,1-Masks,2-Single,3-Cash,4-Metal,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,36
Wona Trading,484991,840137820023,Large Link Face Mask Chain," <ul>
<li>Size: 27” L</li>
<li>Multi Use</li>
<li>Mask NOT Included</li>
<li>Lead and Nickel Compliant</li>
</ul>  ",Charming Charlie,skubana-fullfillment,Accessories,Gold,,$12.00,,$3.38,,,1-Masks,2-Single,3-Cash,4-Metal,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,36
Wona Trading,484992,840137820030,Basic Metal Chainlink Face Mask Chain," <ul>
<li>Size: 27” L</li>
<li>Multi Use</li>
<li>Lead and Nickel Compliant</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Gold,,$8.00,,$2.03,,,1-Masks,2-Single,3-Cash,4-Metal,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,36
Wona Trading,484995,840137820047,Basic Metal Double Strand Face Mask Chain," <ul>
<li>Size: 27” L</li>
<li>Multi Use</li>
<li>Lead and Nickel Compliant</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Gold,,$10.00,,$2.70,,,1-Masks,2-Single,3-Cash,4-Metal,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,36
Wona Trading,484997,840137820054,Basic Metal Double Strand Face Mask Chain," <ul>
<li>Size: 27” L</li>
<li>Multi Use</li>
<li>Lead and Nickel Compliant</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Rosegold,,$10.00,,$2.70,,,1-Masks,2-Single,3-Cash,4-Metal,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Rosegold,,,,,,,,,,,,,,,,,,,,,,,,,,36
Wona Trading,484996,840137820061,Basic Metal Double Strand Face Mask Chain," <ul>
<li>Size: 27” L</li>
<li>Multi Use</li>
<li>Lead and Nickel Compliant</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Silver,,$10.00,,$2.70,,,1-Masks,2-Single,3-Cash,4-Metal,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,36
Wona Trading,485313,840137820078,Faceted Ivory Bead Face Mask Chain,"<ul>
<li>Size: 3mm, 30” L</li>
<li>Mask NOT Included</li>
<li>Lead and Nickel Compliant</li>
<li>Faceted Beaded Mask Chain</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Ivory Light,,$16.00,,$4.73,,,1-Masks,2-Single,3-Cash,4-Seedbead,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Ivory,,,,,,,,,,,,,,,,,,,,,,,,,,36
Wona Trading,485458,840137820085,Merry Christmas Holiday Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 7” x 5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Blue Medium,,$9.00,,$2.03,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,40
Wona Trading,485041,840137820092,Santas Beard Holiday Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 7” x 5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Red Medium,,$9.00,,$2.03,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,30
Wona Trading,485459,840137820108,Blue Snowflake Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 7” x 5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Blue Light,,$9.00,,$2.03,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,40
